site,Species,value,p_a
1-SE01,Agonomalus mozinoi,0,0
1-SE01,Albatrossia pectoralis,0,0
1-SE01,Ammodytes personatus,13166,1
1-SE01,Ammodytes sp.,0,0
1-SE01,Anarrhichthys ocellatus,0,0
1-SE01,Anoplarchus purpurescens,2279,1
1-SE01,Anoplopoma fimbria,0,0
1-SE01,Apodichthys flavidus,0,0
1-SE01,Artedius fenestralis,0,0
1-SE01,Artedius harringtoni,0,0
1-SE01,Artedius lateralis,0,0
1-SE01,Ascelichthys rhodorus,0,0
1-SE01,Aulorhynchus flavidus,0,0
1-SE01,Bathylagus pacificus,0,0
1-SE01,Blepsias cirrhosus,0,0
1-SE01,Brachyistius frenatus,0,0
1-SE01,Chauliodus macouni,0,0
1-SE01,Chitonotus pugetensis,0,0
1-SE01,Citharichthys sordidus,0,0
1-SE01,Citharichthys stigmaeus,0,0
1-SE01,Clinocottus embryum,1642,1
1-SE01,Clinocottus globiceps,0,0
1-SE01,Clupea pallasii,24433,1
1-SE01,Coryphaenoides filifer,0,0
1-SE01,Cottus asper,394,1
1-SE01,Cottus cognatus,0,0
1-SE01,Cottus sp.,0,0
1-SE01,Cymatogaster aggregata,8229,1
1-SE01,Embiotoca lateralis,0,0
1-SE01,Engraulis mordax,0,0
1-SE01,Enophrys bison,0,0
1-SE01,Gadus chalcogrammus,0,0
1-SE01,Gadus macrocephalus,0,0
1-SE01,Gasterosteus aculeatus,4147,1
1-SE01,Gibbonsia montereyensis,0,0
1-SE01,Glyptocephalus zachirus,0,0
1-SE01,Gobiesox maeandricus,0,0
1-SE01,Hemilepidotus hemilepidotus,0,0
1-SE01,Hemilepidotus spinosus,0,0
1-SE01,Hexagrammos decagrammus,0,0
1-SE01,Hexagrammos sp.,4812,1
1-SE01,Hippoglossus stenolepis,0,0
1-SE01,Hydrolagus colliei,0,0
1-SE01,Icelinus borealis,0,0
1-SE01,Icosteus aenigmaticus,0,0
1-SE01,Jordania zonope,0,0
1-SE01,Lepidogobius lepidus,0,0
1-SE01,Lepidopsetta bilineata,0,0
1-SE01,Leptocottus armatus,0,0
1-SE01,Liparis florae,0,0
1-SE01,Liparis mucosus,0,0
1-SE01,Liparis pulchellus,0,0
