dat_site,LCT_shared,abundance,p_a
chp 2018 7 10,Ammodytes1,2,1
chp 2018 7 10,Amphistichus rhodoterus,0,0
chp 2018 7 10,Anoplarchus1,0,0
chp 2018 7 10,Apodichthys flavidus,1,1
chp 2018 7 10,Artedius1,0,0
chp 2018 7 10,Ascelichthys rhodorus,0,0
chp 2018 7 10,Aulorhynchus flavidus,4,1
chp 2018 7 10,Blepsias cirrhosus,0,0
chp 2018 7 10,Brachyistius frenatus,0,0
chp 2018 7 10,Chitonotus pugetensis,0,0
chp 2018 7 10,Citharichthys1,5,1
chp 2018 7 10,Clinocottus acuticeps,0,0
chp 2018 7 10,Clupea pallasii,0,0
chp 2018 7 10,Cymatogaster aggregata,11,1
chp 2018 7 10,Embiotoca lateralis,0,0
chp 2018 7 10,Enophrys bison,4,1
chp 2018 7 10,Gadus chalcogrammus,0,0
chp 2018 7 10,Gadus macrocephalus,0,0
chp 2018 7 10,Gasterosteus aculeatus,0,0
chp 2018 7 10,Gibbonsia metzi,0,0
chp 2018 7 10,Gobiesox maeandricus,0,0
chp 2018 7 10,Hemilepidotus hemilepidotus,0,0
chp 2018 7 10,Hexagrammos decagrammus,0,0
chp 2018 7 10,Hexagrammos stelleri,0,0
chp 2018 7 10,Hexagrammos1,0,0
chp 2018 7 10,Hypomesus pretiosus,0,0
chp 2018 7 10,Jordania zonope,0,0
chp 2018 7 10,Lepidogobius lepidus,0,0
chp 2018 7 10,Lepidopsetta1,0,0
chp 2018 7 10,Leptocottus armatus,0,0
chp 2018 7 10,Lumpenus sagitta,0,0
chp 2018 7 10,Microgadus proximus,0,0
chp 2018 7 10,Myoxocephalus1,0,0
chp 2018 7 10,Odontopyxis trispinosa,0,0
chp 2018 7 10,Oligocottus rimensis,1,1
chp 2018 7 10,Oligocottus1,12,1
chp 2018 7 10,Oncorhynchus kisutch,0,0
chp 2018 7 10,Oncorhynchus tshawytscha,0,0
chp 2018 7 10,Ophiodon elongatus,0,0
chp 2018 7 10,Oxylebius pictus,0,0
chp 2018 7 10,Pallasina barbata,0,0
chp 2018 7 10,Pholis1,0,0
chp 2018 7 10,Platichthys stellatus,0,0
chp 2018 7 10,Pleuronectidae1,0,0
chp 2018 7 10,Pleuronichthys coenosus,1,1
chp 2018 7 10,Rhacochilus vacca,0,0
chp 2018 7 10,Rhinogobiops nicholsii,0,0
chp 2018 7 10,Rimicola muscarum,0,0
chp 2018 7 10,Salvelinus malma,0,0
chp 2018 7 10,Scorpaenichthys marmoratus,2,1
chp 2018 7 10,Sebastes paucispinis,0,0
chp 2018 7 10,Sebastes1,1,1
chp 2018 7 10,Sebastes2,1,1
chp 2018 7 10,Synchirus gilli,3,1
chp 2018 7 10,Syngnathus leptorhynchus,2,1
chp 2018 7 10,Trichodon trichodon,0,0
chp 2018 8 25,Ammodytes1,0,0
chp 2018 8 25,Amphistichus rhodoterus,0,0
chp 2018 8 25,Anoplarchus1,0,0
chp 2018 8 25,Apodichthys flavidus,4,1
chp 2018 8 25,Artedius1,0,0
chp 2018 8 25,Ascelichthys rhodorus,0,0
chp 2018 8 25,Aulorhynchus flavidus,9,1
chp 2018 8 25,Blepsias cirrhosus,1,1
chp 2018 8 25,Brachyistius frenatus,0,0
chp 2018 8 25,Chitonotus pugetensis,0,0
chp 2018 8 25,Citharichthys1,3,1
chp 2018 8 25,Clinocottus acuticeps,1,1
chp 2018 8 25,Clupea pallasii,0,0
chp 2018 8 25,Cymatogaster aggregata,110,1
chp 2018 8 25,Embiotoca lateralis,1,1
chp 2018 8 25,Enophrys bison,15,1
chp 2018 8 25,Gadus chalcogrammus,0,0
chp 2018 8 25,Gadus macrocephalus,0,0
chp 2018 8 25,Gasterosteus aculeatus,0,0
chp 2018 8 25,Gibbonsia metzi,1,1
chp 2018 8 25,Gobiesox maeandricus,0,0
chp 2018 8 25,Hemilepidotus hemilepidotus,2,1
chp 2018 8 25,Hexagrammos decagrammus,8,1
chp 2018 8 25,Hexagrammos stelleri,0,0
chp 2018 8 25,Hexagrammos1,3,1
chp 2018 8 25,Hypomesus pretiosus,0,0
chp 2018 8 25,Jordania zonope,0,0
chp 2018 8 25,Lepidogobius lepidus,0,0
chp 2018 8 25,Lepidopsetta1,0,0
chp 2018 8 25,Leptocottus armatus,0,0
chp 2018 8 25,Lumpenus sagitta,0,0
chp 2018 8 25,Microgadus proximus,0,0
chp 2018 8 25,Myoxocephalus1,0,0
chp 2018 8 25,Odontopyxis trispinosa,0,0
chp 2018 8 25,Oligocottus rimensis,0,0
chp 2018 8 25,Oligocottus1,127,1
chp 2018 8 25,Oncorhynchus kisutch,0,0
chp 2018 8 25,Oncorhynchus tshawytscha,0,0
chp 2018 8 25,Ophiodon elongatus,0,0
chp 2018 8 25,Oxylebius pictus,0,0
chp 2018 8 25,Pallasina barbata,0,0
chp 2018 8 25,Pholis1,2,1
chp 2018 8 25,Platichthys stellatus,0,0
chp 2018 8 25,Pleuronectidae1,1,1
chp 2018 8 25,Pleuronichthys coenosus,1,1
chp 2018 8 25,Rhacochilus vacca,0,0
chp 2018 8 25,Rhinogobiops nicholsii,0,0
chp 2018 8 25,Rimicola muscarum,0,0
chp 2018 8 25,Salvelinus malma,0,0
chp 2018 8 25,Scorpaenichthys marmoratus,4,1
chp 2018 8 25,Sebastes paucispinis,0,0
chp 2018 8 25,Sebastes1,140,1
chp 2018 8 25,Sebastes2,0,0
chp 2018 8 25,Synchirus gilli,4,1
chp 2018 8 25,Syngnathus leptorhynchus,2,1
chp 2018 8 25,Trichodon trichodon,0,0
chp 2019 7 29,Ammodytes1,0,0
chp 2019 7 29,Amphistichus rhodoterus,0,0
chp 2019 7 29,Anoplarchus1,0,0
chp 2019 7 29,Apodichthys flavidus,5,1
chp 2019 7 29,Artedius1,0,0
chp 2019 7 29,Ascelichthys rhodorus,0,0
chp 2019 7 29,Aulorhynchus flavidus,8,1
chp 2019 7 29,Blepsias cirrhosus,1,1
chp 2019 7 29,Brachyistius frenatus,0,0
chp 2019 7 29,Chitonotus pugetensis,0,0
