dat_site,LCT_shared,count,p_a
chp 2018 7 10,Ammodytes1,2833,1
chp 2018 7 10,Amphistichus rhodoterus,0,0
chp 2018 7 10,Anarrhichthys ocellatus,319,1
chp 2018 7 10,Anoplarchus1,379,1
chp 2018 7 10,Apodichthys flavidus,625,1
chp 2018 7 10,Artedius1,1279,1
chp 2018 7 10,Ascelichthys rhodorus,0,0
chp 2018 7 10,Aulorhynchus flavidus,0,0
chp 2018 7 10,Blepsias cirrhosus,0,0
chp 2018 7 10,Brachyistius frenatus,0,0
chp 2018 7 10,Citharichthys1,394,1
chp 2018 7 10,Clevelandia ios,0,0
chp 2018 7 10,Clinocottus globiceps,0,0
chp 2018 7 10,Clupea pallasii,40091,1
chp 2018 7 10,Cottus asper,0,0
chp 2018 7 10,Cottus1,0,0
chp 2018 7 10,Cymatogaster aggregata,1187,1
chp 2018 7 10,Embiotoca lateralis,0,0
chp 2018 7 10,Engraulis mordax,0,0
chp 2018 7 10,Enophrys bison,0,0
chp 2018 7 10,Gadus chalcogrammus,0,0
chp 2018 7 10,Gasterosteus aculeatus,0,0
chp 2018 7 10,Gibbonsia montereyensis,0,0
chp 2018 7 10,Gobiesox maeandricus,103,1
chp 2018 7 10,Hemilepidotus hemilepidotus,52,1
chp 2018 7 10,Hexagrammos decagrammus,2640,1
chp 2018 7 10,Hexagrammos1,940,1
chp 2018 7 10,Hippoglossus stenolepis,0,0
chp 2018 7 10,Hydrolagus colliei,44,1
chp 2018 7 10,Icosteus aenigmaticus,0,0
chp 2018 7 10,Jordania zonope,0,0
chp 2018 7 10,Lepidopsetta1,0,0
chp 2018 7 10,Leptocottus armatus,0,0
chp 2018 7 10,Liparis cyclopus,0,0
chp 2018 7 10,Liparis florae,0,0
chp 2018 7 10,Liparis mucosus,0,0
chp 2018 7 10,Lumpenus sagitta,0,0
chp 2018 7 10,Merluccius productus,0,0
chp 2018 7 10,Microgadus proximus,0,0
chp 2018 7 10,Microstomus pacificus,0,0
chp 2018 7 10,Mola mola,0,0
chp 2018 7 10,Myoxocephalus1,0,0
chp 2018 7 10,Nautichthys oculofasciatus,0,0
chp 2018 7 10,Oligocottus1,0,0
chp 2018 7 10,Oncorhynchus clarkii,0,0
chp 2018 7 10,Oncorhynchus gorbuscha,64,1
chp 2018 7 10,Oncorhynchus keta,0,0
chp 2018 7 10,Oncorhynchus kisutch,432,1
chp 2018 7 10,Oncorhynchus mykiss,0,0
chp 2018 7 10,Oncorhynchus tshawytscha,859,1
chp 2018 7 10,Ophiodon elongatus,672,1
chp 2018 7 10,Oxylebius pictus,0,0
chp 2018 7 10,Pholis1,0,0
chp 2018 7 10,Phytichthys chirus,0,0
chp 2018 7 10,Platichthys stellatus,827,1
chp 2018 7 10,Pleuronectidae1,283,1
chp 2018 7 10,Pleuronichthys coenosus,707,1
chp 2018 7 10,Polypera greeni,0,0
chp 2018 7 10,Rhacochilus vacca,567,1
chp 2018 7 10,Rimicola muscarum,0,0
chp 2018 7 10,Salvelinus malma,0,0
chp 2018 7 10,Scorpaenichthys marmoratus,0,0
chp 2018 7 10,Sebastes entomelas,0,0
chp 2018 7 10,Sebastes nebulosus,976,1
chp 2018 7 10,Sebastes1,1480,1
chp 2018 7 10,Sebastes2,3323,1
chp 2018 7 10,Synchirus gilli,0,0
chp 2018 7 10,Syngnathus leptorhynchus,0,0
